area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2
162.0,387500.0,as new,3.0,3.0,hyper equipped,,,2870,470.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2391.9753086419755
175.0,373750.0,as new,3.0,3.0,,,,9660,525.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2135.714285714286
170.0,295000.0,as new,2.0,3.0,hyper equipped,,,7760,447.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,1735.2941176470588
205.0,795000.0,just renovated,2.0,4.0,,,,3000,147.0,1,18,,house,mixed,1,61,Flemish Brabant,Flanders_zone,3,3878.048780487805
540.0,1450000.0,as new,2.0,4.0,hyper equipped,,,8000,205.0,1,35,,house,mansion,0,0,West Flanders,Flanders_zone,3,2685.185185185185
142.0,394000.0,,,3.0,hyper equipped,,,9200,185.0,0,0,,house,house,1,118,East Flanders,Flanders_zone,3,2774.6478873239435
138.0,262000.0,,,4.0,,,,8830,227.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1898.5507246376812
450.0,2750000.0,as new,4.0,7.0,hyper equipped,,,1180,2600.0,0,0,,house,villa,0,0,Brussel-Capital,Brussels_zone,1,6111.111111111111
132.0,589000.0,,2.0,3.0,,,,9000,94.0,0,0,,house,house,1,28,East Flanders,Flanders_zone,3,4462.121212121212
191.0,2999000.0,as new,3.0,5.0,,,,8300,290.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,15701.570680628272
103.0,215000.0,good,,2.0,installed,,,1430,234.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2087.378640776699
1100.0,4950000.0,as new,4.0,7.0,hyper equipped,,,1190,48905.0,1,100,True,house,exceptiona,0,0,Brussel-Capital,Brussels_zone,1,4500.0
336.0,899000.0,as new,4.0,3.0,usa hyper equipped,,1.0,1851,2151.0,1,60,True,house,villa,1,1950,Flemish Brabant,Flanders_zone,3,2675.595238095238
75.0,189000.0,good,2.0,2.0,semi equipped,,,9000,41.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2520.0
167.0,321000.0,,,4.0,,,,8490,284.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1922.1556886227545
420.0,449000.0,,,6.0,,,,8730,563.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1069.047619047619
158.0,319000.0,,3.0,3.0,,,,1360,304.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2018.987341772152
166.0,450000.0,good,4.0,4.0,installed,,1.0,3400,1215.0,0,0,,house,villa,0,0,Flemish Brabant,Flanders_zone,3,2710.843373493976
245.0,427000.0,as new,4.0,6.0,hyper equipped,,,2230,838.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,1742.857142857143
170.0,430000.0,,4.0,3.0,,,,8020,431.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2529.4117647058824
232.0,650000.0,to renovate,2.0,6.0,installed,,,1040,95.0,1,25,,house,house,0,0,Brussel-Capital,Brussels_zone,1,2801.7241379310344
185.0,270000.0,to renovate,,3.0,installed,,,8460,240.0,1,20,,house,house,1,150,West Flanders,Flanders_zone,3,1459.4594594594594
500.0,275000.0,,4.0,2.0,semi equipped,,,6590,2573.0,0,0,,house,house,1,1900,Hainaut,Wallonia_zone,2,550.0
152.0,331000.0,,3.0,3.0,,,,9400,312.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2177.6315789473683
180.0,398000.0,as new,,3.0,hyper equipped,,,2850,120.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2211.1111111111113
307.0,695000.0,as new,4.0,4.0,hyper equipped,,,3212,1832.0,0,0,,house,villa,0,0,Flemish Brabant,Flanders_zone,3,2263.843648208469
341.0,695000.0,to be done up,2.0,3.0,usa hyper equipped,,,1160,189.0,1,27,,house,mixed,0,0,Brussel-Capital,Brussels_zone,1,2038.123167155425
149.0,270000.0,good,,5.0,semi equipped,,,4031,60.0,0,0,,house,house,0,0,Liege,Wallonia_zone,2,1812.0805369127518
196.0,609000.0,as new,4.0,3.0,installed,,,2550,510.0,0,0,,house,villa,1,400,Antwerp,Flanders_zone,3,3107.1428571428573
182.0,330000.0,to renovate,4.0,3.0,,,,3472,2900.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,1813.1868131868132
202.0,149900.0,,2.0,3.0,installed,,,8650,152.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,742.0792079207921
115.0,149500.0,good,2.0,3.0,hyper equipped,,,4400,75.0,0,0,,house,house,1,23,Liege,Wallonia_zone,2,1300.0
301.0,795000.0,good,3.0,5.0,installed,,,1040,180.0,1,5,,house,house,0,0,Brussel-Capital,Brussels_zone,1,2641.1960132890367
256.0,365000.0,to be done up,,3.0,installed,,,9570,1546.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1425.78125
152.0,135000.0,to renovate,2.0,3.0,,,,2300,166.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,888.1578947368421
180.0,220000.0,good,4.0,3.0,,,,8500,213.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1222.2222222222222
142.0,635000.0,good,2.0,4.0,hyper equipped,,,1160,100.0,1,10,,house,house,1,35,Brussel-Capital,Brussels_zone,1,4471.830985915493
335.0,460000.0,good,4.0,4.0,installed,,,4500,5380.0,1,40,,house,villa,1,5000,Liege,Wallonia_zone,2,1373.134328358209
120.0,254000.0,,,3.0,installed,,,9320,1860.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2116.6666666666665
225.0,430000.0,to renovate,4.0,5.0,installed,,1.0,1570,1836.0,0,0,,house,villa,0,0,Flemish Brabant,Flanders_zone,3,1911.111111111111
158.0,265000.0,good,3.0,3.0,,,,8755,408.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1677.2151898734178
220.0,150000.0,good,2.0,4.0,installed,,,5070,1.0,0,0,,house,house,0,0,Namur,Wallonia_zone,2,681.8181818181819
750.0,4500000.0,as new,2.0,5.0,installed,,,1050,500.0,1,20,,house,house,1,150,Brussel-Capital,Brussels_zone,1,6000.0
80.0,230000.0,as new,,3.0,hyper equipped,,,8434,205.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2875.0
213.0,725000.0,good,4.0,3.0,installed,,,9790,1887.0,0,0,,house,villa,0,0,East Flanders,Flanders_zone,3,3403.755868544601
145.0,320000.0,,2.0,3.0,,,,9960,227.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2206.896551724138
253.0,640000.0,to renovate,,5.0,,,,8000,140.0,1,35,,house,house,0,0,West Flanders,Flanders_zone,3,2529.6442687747035
350.0,569000.0,,4.0,3.0,semi equipped,,,9200,2952.0,1,32,,house,house,1,1500,East Flanders,Flanders_zone,3,1625.7142857142858
204.0,265000.0,good,,3.0,,,,8820,139.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1299.0196078431372
103.0,250000.0,,2.0,3.0,,,,9600,393.0,1,20,,house,house,0,0,East Flanders,Flanders_zone,3,2427.1844660194174
150.0,330000.0,just renovated,2.0,5.0,installed,,,5000,170.0,0,0,,house,house,0,0,Namur,Wallonia_zone,2,2200.0
130.0,263863.0,,2.0,3.0,,,,8430,222.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2029.7153846153847
140.0,289000.0,good,4.0,3.0,installed,,,8980,375.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2064.285714285714
400.0,439000.0,to be done up,4.0,5.0,semi equipped,,,4610,1700.0,0,0,True,house,mansion,1,1700,Liege,Wallonia_zone,2,1097.5
120.0,425000.0,good,3.0,4.0,installed,,,8020,277.0,1,25,,house,house,1,170,West Flanders,Flanders_zone,3,3541.6666666666665
300.0,659000.0,as new,3.0,5.0,hyper equipped,,1.0,4000,300.0,1,40,True,house,mansion,1,80,Liege,Wallonia_zone,2,2196.6666666666665
179.0,195000.0,to renovate,,3.0,,,,8540,887.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1089.3854748603353
186.0,399000.0,,,4.0,,,,8310,284.0,1,30,,house,house,1,162,West Flanders,Flanders_zone,3,2145.1612903225805
376.0,675000.0,good,,5.0,,,1.0,3110,1761.0,1,25,True,house,mixed,1,1000,Flemish Brabant,Flanders_zone,3,1795.212765957447
215.0,398000.0,,4.0,5.0,installed,,,6760,870.0,0,0,,house,house,1,600,Luxembourg,Wallonia_zone,2,1851.1627906976744
110.0,170000.0,to renovate,2.0,3.0,semi equipped,,,9470,64.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1545.4545454545455
176.0,389500.0,good,4.0,2.0,installed,,,2860,342.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,2213.068181818182
174.0,286900.0,as new,2.0,3.0,not installed,,,4840,198.0,0,0,,house,house,0,0,Liege,Wallonia_zone,2,1648.8505747126437
191.0,314990.0,good,3.0,3.0,usa hyper equipped,,,3620,688.0,1,250,,house,house,1,270,Limburg,Flanders_zone,3,1649.1623036649214
180.0,379000.0,to renovate,4.0,5.0,semi equipped,,,9860,1976.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,2105.5555555555557
178.0,745000.0,just renovated,,3.0,usa hyper equipped,,,8300,431.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,4185.393258426966
237.0,365000.0,to renovate,3.0,4.0,installed,,,9000,160.0,0,0,,house,house,1,50,East Flanders,Flanders_zone,3,1540.084388185654
90.0,285000.0,,2.0,2.0,hyper equipped,,,8400,151.0,1,20,,house,house,1,42,West Flanders,Flanders_zone,3,3166.6666666666665
240.0,389000.0,good,4.0,5.0,installed,,,1470,818.0,1,20,,house,villa,0,0,Walloon Brabant,Wallonia_zone,2,1620.8333333333333
215.0,975000.0,as new,4.0,4.0,usa hyper equipped,,,1325,1190.0,1,100,,house,villa,1,1190,Walloon Brabant,Wallonia_zone,2,4534.883720930233
180.0,469000.0,to renovate,2.0,3.0,semi equipped,,,1040,115.0,1,45,,house,house,0,0,Brussel-Capital,Brussels_zone,1,2605.5555555555557
259.0,750000.0,to be done up,2.0,4.0,,,,1030,169.0,0,0,,house,house,1,76,Brussel-Capital,Brussels_zone,1,2895.7528957528957
175.0,427120.0,,4.0,4.0,,,,3390,1240.0,0,0,,house,house,0,0,Flemish Brabant,Flanders_zone,3,2440.6857142857143
120.0,169113.0,as new,3.0,3.0,usa hyper equipped,,,4540,422.0,0,0,,house,house,1,422,Liege,Wallonia_zone,2,1409.275
241.0,479000.0,good,4.0,5.0,installed,,,4020,1400.0,1,30,,house,house,1,935,Liege,Wallonia_zone,2,1987.551867219917
600.0,2550000.0,as new,4.0,6.0,usa hyper equipped,,,1950,2500.0,1,85,True,house,exceptiona,1,1650,Flemish Brabant,Flanders_zone,3,4250.0
171.0,319000.0,,3.0,3.0,hyper equipped,,,2845,220.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,1865.4970760233919
243.0,194900.0,,4.0,3.0,,,,6044,414.0,1,15,,house,house,1,329,Hainaut,Wallonia_zone,2,802.0576131687243
111.0,130000.0,to be done up,3.0,2.0,semi equipped,,,4680,268.0,1,20,,house,house,1,170,Liege,Wallonia_zone,2,1171.1711711711712
205.0,320000.0,,,5.0,,,,9000,59.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1560.9756097560976
128.0,145000.0,good,3.0,3.0,,,,9500,40.0,0,0,,house,house,0,0,East Flanders,Flanders_zone,3,1132.8125
200.0,250000.0,to be done up,3.0,4.0,semi equipped,,,6240,2590.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,1250.0
365.0,835000.0,good,4.0,,semi equipped,,,3053,892.0,0,0,,house,mixed,0,0,Flemish Brabant,Flanders_zone,3,2287.671232876712
229.0,350000.0,just renovated,2.0,4.0,installed,,,9000,109.0,1,30,,house,house,0,0,East Flanders,Flanders_zone,3,1528.3842794759826
120.0,267800.0,good,3.0,3.0,installed,,,8501,170.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,2231.6666666666665
