,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface
633,709,222.0,299000.0,good,3.0,5.0,,no,,4040,516.0,1,50,,house,house,1,180
634,710,195.0,419000.0,as new,,4.0,installed,no,,8400,208.0,0,0,,house,house,1,127
635,713,250.0,329500.0,,2.0,4.0,installed,no,,8792,605.0,0,0,,house,house,0,0
636,714,150.0,310000.0,as new,3.0,3.0,,,,1480,806.0,1,25,,house,villa,1,706
637,715,378.0,775000.0,as new,,5.0,,,,9550,460.0,0,0,,house,house,0,0
639,717,180.0,149000.0,to renovate,2.0,2.0,,no,,4800,81.0,0,0,,house,apartment,0,0
640,718,112.0,355000.0,,2.0,3.0,,,,9960,295.0,0,0,,house,house,0,0
641,719,146.0,325000.0,to be done up,3.0,5.0,installed,,,5100,405.0,0,0,,house,house,0,0
642,720,162.0,329000.0,,,3.0,,,,2380,213.0,0,0,,house,house,0,0
643,721,142.0,325000.0,good,,2.0,installed,no,,1501,84.0,0,0,,house,house,0,0
644,722,182.0,25000.0,good,3.0,4.0,installed,no,,5140,589.0,0,0,,house,house,0,0
645,724,500.0,980000.0,as new,4.0,5.0,usa hyper equipped,no,,4260,4240.0,1,100,True,house,exceptiona,1,3000
646,725,280.0,585000.0,,,5.0,hyper equipped,,,2221,750.0,0,0,,house,exceptiona,0,0
647,726,292.0,248000.0,,3.0,3.0,installed,no,,6180,1400.0,1,20,,house,house,1,1000
648,727,172.0,449500.0,just renovated,3.0,4.0,installed,no,,8000,97.0,0,0,,house,house,0,0
649,728,400.0,550000.0,,,3.0,installed,,,9300,376.0,0,0,,house,mansion,0,0
650,729,160.0,273000.0,as new,,3.0,hyper equipped,no,,8740,208.0,0,0,,house,house,0,0
652,731,320.0,1150000.0,as new,4.0,4.0,hyper equipped,,,3000,2000.0,0,0,True,house,villa,1,2000
653,733,300.0,680000.0,as new,4.0,4.0,usa installed,no,1.0,5380,2400.0,0,0,,house,villa,0,0
655,735,188.0,149900.0,good,2.0,3.0,installed,no,,6001,210.0,0,0,,house,house,1,124
656,736,115.0,319500.0,as new,,3.0,,,,8000,115.0,1,12,,house,house,0,0
657,737,100.0,295000.0,as new,3.0,3.0,installed,no,,8434,127.0,1,55,,house,house,0,0
658,738,250.0,245000.0,,4.0,4.0,semi equipped,,,6840,716.0,0,0,,house,house,0,0
659,739,360.0,225000.0,good,2.0,3.0,installed,no,,8930,134.0,0,0,,house,house,0,0
660,740,135.0,279000.0,to be done up,3.0,2.0,hyper equipped,no,,1790,790.0,0,0,,house,bungalow,1,450
661,741,141.0,199000.0,,4.0,3.0,installed,no,1.0,5600,2499.0,1,10,,house,house,0,0
663,743,340.0,655000.0,just renovated,4.0,5.0,usa hyper equipped,no,,1350,1300.0,0,0,True,house,exceptiona,0,0
664,744,157.0,349000.0,as new,,4.0,hyper equipped,no,,8470,320.0,0,0,,house,house,0,0
665,745,238.0,433174.0,,4.0,3.0,,,,8870,435.0,0,0,,house,villa,0,0
666,746,160.0,382000.0,,,3.0,,no,,3390,530.0,0,0,,house,house,0,0
667,747,355.0,1065000.0,,,2.0,,,,3740,1871.0,0,0,True,house,villa,0,0
668,748,121.0,275000.0,,2.0,2.0,,no,,6791,209.0,1,10,,house,house,0,0
