,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,subtype,Province,Zone,zone_num
3511,3971,240.0,420000,good,2.0,9.0,usa hyper equipped,,,2140,93.0,0,0,,house,house,1,30,1,Antwerp,Flanders_zone,3
3512,3972,120.0,239000,to renovate,3.0,2.0,semi equipped,,,2580,196.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
3513,3974,390.0,549000,to be done up,3.0,4.0,installed,,,1800,373.0,0,0,,house,mixed,0,0,3,Flemish Brabant,Flanders_zone,3
3514,3975,230.0,445000,as new,3.0,5.0,hyper equipped,,,5300,1759.0,1,12,,house,mansion,1,1400,6,Namur,Wallonia_zone,2
3516,3977,244.0,415000,just renovated,1.0,3.0,,,,2930,244.0,1,21,,house,house,1,150,1,Antwerp,Flanders_zone,3
3517,3978,163.0,486000,,3.0,3.0,installed,,,2820,304.0,1,9,,house,house,1,203,1,Antwerp,Flanders_zone,3
3518,3979,174.0,439000,as new,,3.0,installed,,,3690,4110.0,1,40,,house,house,0,0,1,Limburg,Flanders_zone,3
3519,3980,115.0,399000,good,2.0,3.0,installed,,,1180,60.0,1,16,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
3520,3981,158.0,259915,,2.0,3.0,,,,8470,174.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3521,3982,440.0,650000,to be done up,2.0,5.0,,,,1060,188.0,0,0,,house,mixed,0,0,3,Brussel-Capital,Brussels_zone,1
3523,3984,280.0,409000,as new,,3.0,hyper equipped,,,8930,695.0,0,0,,house,country,1,555,7,West Flanders,Flanders_zone,3
3526,3987,180.0,225000,to renovate,3.0,3.0,semi equipped,,,2500,620.0,0,0,,house,house,1,315,1,Antwerp,Flanders_zone,3
3527,3988,216.0,399000,as new,3.0,3.0,installed,,,9308,450.0,1,24,,house,house,1,200,1,East Flanders,Flanders_zone,3
3528,3989,393.0,530000,good,3.0,5.0,installed,,,9140,480.0,0,0,,house,house,1,71,1,East Flanders,Flanders_zone,3
3530,3991,100.0,235000,as new,4.0,3.0,hyper equipped,yes,,8420,165.0,1,30,,house,chalet,0,0,14,West Flanders,Flanders_zone,3
3531,3992,233.0,798000,just renovated,,4.0,,,,3000,244.0,0,0,,house,mansion,0,0,6,Flemish Brabant,Flanders_zone,3
3532,3993,423.0,1090000,good,2.0,4.0,usa hyper equipped,,,1040,218.0,0,0,,house,apartment,1,76,4,Brussel-Capital,Brussels_zone,1
3533,3994,160.0,281461,as new,4.0,3.0,hyper equipped,,,9690,510.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3535,3996,110.0,169000,good,2.0,4.0,installed,,,5570,172.0,1,55,,house,house,0,0,1,Namur,Wallonia_zone,2
3537,3998,160.0,298000,good,2.0,2.0,installed,,,2900,132.0,0,0,,house,house,1,50,1,Antwerp,Flanders_zone,3
3538,3999,530.0,1790000,as new,4.0,6.0,installed,,,1640,1400.0,0,0,True,house,villa,1,1,2,Flemish Brabant,Flanders_zone,3
3539,4000,350.0,588000,good,4.0,6.0,usa hyper equipped,,,8581,2033.0,1,480,,house,mixed,1,1500,3,West Flanders,Flanders_zone,3
3540,4003,91.0,330000,,2.0,2.0,,,,1180,65.0,1,21,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
3541,4004,128.0,395000,as new,2.0,3.0,installed,,,2800,95.0,0,0,,house,house,1,19,1,Antwerp,Flanders_zone,3
3542,4005,340.0,350000,good,2.0,2.0,,,,7500,260.0,1,60,,house,mixed,0,0,3,Hainaut,Wallonia_zone,2
3543,4006,150.0,315000,as new,3.0,3.0,hyper equipped,,,1480,715.0,1,25,,house,villa,1,615,2,Walloon Brabant,Wallonia_zone,2
3544,4007,156.0,423750,,3.0,3.0,installed,,,9000,156.0,1,19,,house,house,0,0,1,East Flanders,Flanders_zone,3
3546,4009,196.0,499000,good,2.0,4.0,hyper equipped,,,1160,196.0,1,14,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
3547,4010,157.0,180000,to renovate,2.0,5.0,semi equipped,,,6224,650.0,1,17,,house,house,1,535,1,Hainaut,Wallonia_zone,2
3548,4011,170.0,340000,as new,3.0,4.0,,,,1440,170.0,1,10,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
3549,4012,105.0,90000,to renovate,,2.0,semi equipped,,,7321,491.0,0,0,,house,house,1,386,1,Hainaut,Wallonia_zone,2
3550,4013,515.0,1950000,as new,3.0,5.0,installed,,1.0,1150,600.0,0,0,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
3551,4014,121.0,292500,,3.0,3.0,installed,,,9600,363.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3553,4016,540.0,3250000,as new,4.0,5.0,usa hyper equipped,,,1630,2000.0,1,70,True,house,exceptiona,1,1800,5,Flemish Brabant,Flanders_zone,3
3554,4017,190.0,299000,to be done up,2.0,5.0,usa semi equipped,,,1700,169.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3555,4018,209.0,279000,as new,,3.0,hyper equipped,,,8691,280.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3556,4019,148.0,199000,,2.0,2.0,installed,,,9300,90.0,0,0,,house,house,1,35,1,East Flanders,Flanders_zone,3
3557,4022,350.0,569000,,4.0,3.0,semi equipped,,,9200,2952.0,1,32,,house,bungalow,1,1500,9,East Flanders,Flanders_zone,3
3558,4023,180.0,450000,,2.0,5.0,installed,,,9000,58.0,0,0,,house,mixed,0,0,3,East Flanders,Flanders_zone,3
3559,4024,165.0,340000,,,3.0,,,,1570,534.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3560,4025,200.0,459000,good,3.0,3.0,installed,,,2860,800.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
3561,4026,210.0,400000,,3.0,5.0,semi equipped,,,2880,151.0,1,17,,house,house,1,16,1,Antwerp,Flanders_zone,3
3562,4027,159.0,386466,as new,3.0,3.0,installed,,,9971,555.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3563,4028,240.0,298000,,2.0,4.0,hyper equipped,,,6000,90.0,1,3,,house,apartment,0,0,4,Hainaut,Wallonia_zone,2
3564,4029,200.0,249000,just renovated,3.0,3.0,installed,,,6010,320.0,1,20,,house,house,1,120,1,Hainaut,Wallonia_zone,2
3565,4030,195.0,525000,,4.0,5.0,usa hyper equipped,,1.0,1490,761.0,0,0,,house,villa,0,0,2,Walloon Brabant,Wallonia_zone,2
3566,4031,317.0,650000,,2.0,7.0,installed,,,1040,135.0,0,0,,house,house,0,0,1,Brussel-Capital,Brussels_zone,1
3567,4032,143.0,320220,,3.0,3.0,installed,,,2260,463.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
3568,4033,100.0,190000,good,2.0,3.0,semi equipped,,,4432,251.0,1,4,,house,house,1,167,1,Liège,Wallonia_zone,2
